126 Total Scenarios Tested.
100 Passed Scenarios (79.3651%)
26 Failed Scenarios (20.6349%)
---------
PASS: Zone A, inDir SOUTH, Links --** -- 
PASS: Zone A, inDir SOUTH, Links --*F -- 
PASS: Zone A, inDir SOUTH, Links --*B -- 
PASS: Zone A, inDir SOUTH, Links --F* -- 
PASS: Zone A, inDir SOUTH, Links --FF -- 
PASS: Zone A, inDir SOUTH, Links --FB -- 
FAIL: Zone A, inDir SOUTH, Links --B* -- 
FAIL: Zone A, inDir SOUTH, Links --BF -- 
FAIL: Zone A, inDir SOUTH, Links --BB -- 
PASS: Zone A, inDir WEST , Links --** -- 
PASS: Zone A, inDir WEST , Links --*F -- 
FAIL: Zone A, inDir WEST , Links --*B -- 
PASS: Zone A, inDir WEST , Links --F* -- 
PASS: Zone A, inDir WEST , Links --FF -- 
FAIL: Zone A, inDir WEST , Links --FB -- 
PASS: Zone A, inDir WEST , Links --B* -- 
PASS: Zone A, inDir WEST , Links --BF -- 
FAIL: Zone A, inDir WEST , Links --BB -- 
PASS: Zone B, inDir SOUTH, Links --** -- 
PASS: Zone B, inDir SOUTH, Links --*F -- 
PASS: Zone B, inDir SOUTH, Links --*B -- 
PASS: Zone B, inDir SOUTH, Links --F* -- 
PASS: Zone B, inDir SOUTH, Links --FF -- 
PASS: Zone B, inDir SOUTH, Links --FB -- 
FAIL: Zone B, inDir SOUTH, Links --B* -- 
FAIL: Zone B, inDir SOUTH, Links --BF -- 
FAIL: Zone B, inDir SOUTH, Links --BB -- 
PASS: Zone B, inDir WEST , Links --** -- 
PASS: Zone B, inDir WEST , Links --*F -- 
FAIL: Zone B, inDir WEST , Links --*B -- 
PASS: Zone B, inDir WEST , Links --F* -- 
PASS: Zone B, inDir WEST , Links --FF -- 
FAIL: Zone B, inDir WEST , Links --FB -- 
PASS: Zone B, inDir WEST , Links --B* -- 
PASS: Zone B, inDir WEST , Links --BF -- 
FAIL: Zone B, inDir WEST , Links --BB -- 
PASS: Zone C, inDir SOUTH, Links --** -- 
PASS: Zone C, inDir SOUTH, Links --*F -- 
PASS: Zone C, inDir SOUTH, Links --*B -- 
PASS: Zone C, inDir SOUTH, Links --F* -- 
PASS: Zone C, inDir SOUTH, Links --FF -- 
PASS: Zone C, inDir SOUTH, Links --FB -- 
FAIL: Zone C, inDir SOUTH, Links --B* -- 
FAIL: Zone C, inDir SOUTH, Links --BF -- 
FAIL: Zone C, inDir SOUTH, Links --BB -- 
PASS: Zone C, inDir WEST , Links --** -- 
PASS: Zone C, inDir WEST , Links --*F -- 
FAIL: Zone C, inDir WEST , Links --*B -- 
PASS: Zone C, inDir WEST , Links --F* -- 
PASS: Zone C, inDir WEST , Links --FF -- 
FAIL: Zone C, inDir WEST , Links --FB -- 
PASS: Zone C, inDir WEST , Links --B* -- 
PASS: Zone C, inDir WEST , Links --BF -- 
FAIL: Zone C, inDir WEST , Links --BB -- 
PASS: Zone N, inDir SOUTH, Links --** -- 
PASS: Zone N, inDir SOUTH, Links --*F -- 
PASS: Zone N, inDir SOUTH, Links --*B -- 
PASS: Zone N, inDir SOUTH, Links --F* -- 
PASS: Zone N, inDir SOUTH, Links --FF -- 
PASS: Zone N, inDir SOUTH, Links --FB -- 
PASS: Zone N, inDir SOUTH, Links --B* -- 
FAIL: Zone N, inDir SOUTH, Links --BF -- 
PASS: Zone N, inDir SOUTH, Links --BB -- 
PASS: Zone N, inDir WEST , Links --** -- 
PASS: Zone N, inDir WEST , Links --*F -- 
FAIL: Zone N, inDir WEST , Links --*B -- 
PASS: Zone N, inDir WEST , Links --F* -- 
PASS: Zone N, inDir WEST , Links --FF -- 
FAIL: Zone N, inDir WEST , Links --FB -- 
PASS: Zone N, inDir WEST , Links --B* -- 
PASS: Zone N, inDir WEST , Links --BF -- 
FAIL: Zone N, inDir WEST , Links --BB -- 
PASS: Zone O, inDir SOUTH, Links --** -- 
PASS: Zone O, inDir SOUTH, Links --*F -- 
PASS: Zone O, inDir SOUTH, Links --*B -- 
PASS: Zone O, inDir SOUTH, Links --F* -- 
PASS: Zone O, inDir SOUTH, Links --FF -- 
PASS: Zone O, inDir SOUTH, Links --FB -- 
FAIL: Zone O, inDir SOUTH, Links --B* -- 
FAIL: Zone O, inDir SOUTH, Links --BF -- 
FAIL: Zone O, inDir SOUTH, Links --BB -- 
PASS: Zone O, inDir WEST , Links --** -- 
PASS: Zone O, inDir WEST , Links --*F -- 
PASS: Zone O, inDir WEST , Links --*B -- 
PASS: Zone O, inDir WEST , Links --F* -- 
PASS: Zone O, inDir WEST , Links --FF -- 
FAIL: Zone O, inDir WEST , Links --FB -- 
PASS: Zone O, inDir WEST , Links --B* -- 
PASS: Zone O, inDir WEST , Links --BF -- 
PASS: Zone O, inDir WEST , Links --BB -- 
PASS: Zone R, inDir SOUTH, Links --** NE 
PASS: Zone R, inDir SOUTH, Links --** -- 
PASS: Zone R, inDir SOUTH, Links --*F NE 
PASS: Zone R, inDir SOUTH, Links --*F -- 
PASS: Zone R, inDir SOUTH, Links --*B NE 
PASS: Zone R, inDir SOUTH, Links --*B -- 
PASS: Zone R, inDir SOUTH, Links --F* NE 
PASS: Zone R, inDir SOUTH, Links --F* -- 
PASS: Zone R, inDir SOUTH, Links --FF NE 
PASS: Zone R, inDir SOUTH, Links --FF -- 
PASS: Zone R, inDir SOUTH, Links --FB NE 
PASS: Zone R, inDir SOUTH, Links --FB -- 
PASS: Zone R, inDir SOUTH, Links --B* NE 
PASS: Zone R, inDir SOUTH, Links --B* -- 
PASS: Zone R, inDir SOUTH, Links --BF NE 
PASS: Zone R, inDir SOUTH, Links --BF -- 
PASS: Zone R, inDir SOUTH, Links --BB NE 
PASS: Zone R, inDir SOUTH, Links --BB -- 
PASS: Zone R, inDir WEST , Links --** NE 
PASS: Zone R, inDir WEST , Links --** -- 
PASS: Zone R, inDir WEST , Links --*F NE 
PASS: Zone R, inDir WEST , Links --*F -- 
PASS: Zone R, inDir WEST , Links --*B NE 
PASS: Zone R, inDir WEST , Links --*B -- 
PASS: Zone R, inDir WEST , Links --F* NE 
PASS: Zone R, inDir WEST , Links --F* -- 
PASS: Zone R, inDir WEST , Links --FF NE 
PASS: Zone R, inDir WEST , Links --FF -- 
PASS: Zone R, inDir WEST , Links --FB NE 
PASS: Zone R, inDir WEST , Links --FB -- 
PASS: Zone R, inDir WEST , Links --B* NE 
PASS: Zone R, inDir WEST , Links --B* -- 
PASS: Zone R, inDir WEST , Links --BF NE 
PASS: Zone R, inDir WEST , Links --BF -- 
PASS: Zone R, inDir WEST , Links --BB NE 
PASS: Zone R, inDir WEST , Links --BB -- 



.
