180 Total Scenarios Tested.
180 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone C, inDir EAST , Links -**- -- 
PASS: Zone C, inDir EAST , Links -*F- -- 
PASS: Zone C, inDir EAST , Links -*B- -- 
PASS: Zone C, inDir EAST , Links -F*- -- 
PASS: Zone C, inDir EAST , Links -FF- -- 
PASS: Zone C, inDir EAST , Links -FB- -- 
PASS: Zone C, inDir EAST , Links -B*- -- 
PASS: Zone C, inDir EAST , Links -BF- -- 
PASS: Zone C, inDir EAST , Links -BB- -- 
PASS: Zone C, inDir WEST , Links -**- -- 
PASS: Zone C, inDir WEST , Links -*F- -- 
PASS: Zone C, inDir WEST , Links -*B- -- 
PASS: Zone C, inDir WEST , Links -F*- -- 
PASS: Zone C, inDir WEST , Links -FF- -- 
PASS: Zone C, inDir WEST , Links -FB- -- 
PASS: Zone C, inDir WEST , Links -B*- -- 
PASS: Zone C, inDir WEST , Links -BF- -- 
PASS: Zone C, inDir WEST , Links -BB- -- 
PASS: Zone D, inDir EAST , Links -**- -- 
PASS: Zone D, inDir EAST , Links -*F- -- 
PASS: Zone D, inDir EAST , Links -*B- -- 
PASS: Zone D, inDir EAST , Links -F*- -- 
PASS: Zone D, inDir EAST , Links -FF- -- 
PASS: Zone D, inDir EAST , Links -FB- -- 
PASS: Zone D, inDir EAST , Links -B*- -- 
PASS: Zone D, inDir EAST , Links -BF- -- 
PASS: Zone D, inDir EAST , Links -BB- -- 
PASS: Zone D, inDir WEST , Links -**- -- 
PASS: Zone D, inDir WEST , Links -*F- -- 
PASS: Zone D, inDir WEST , Links -*B- -- 
PASS: Zone D, inDir WEST , Links -F*- -- 
PASS: Zone D, inDir WEST , Links -FF- -- 
PASS: Zone D, inDir WEST , Links -FB- -- 
PASS: Zone D, inDir WEST , Links -B*- -- 
PASS: Zone D, inDir WEST , Links -BF- -- 
PASS: Zone D, inDir WEST , Links -BB- -- 
PASS: Zone E, inDir EAST , Links -**- -- 
PASS: Zone E, inDir EAST , Links -*F- -- 
PASS: Zone E, inDir EAST , Links -*B- -- 
PASS: Zone E, inDir EAST , Links -F*- -- 
PASS: Zone E, inDir EAST , Links -FF- -- 
PASS: Zone E, inDir EAST , Links -FB- -- 
PASS: Zone E, inDir EAST , Links -B*- -- 
PASS: Zone E, inDir EAST , Links -BF- -- 
PASS: Zone E, inDir EAST , Links -BB- -- 
PASS: Zone E, inDir WEST , Links -**- -- 
PASS: Zone E, inDir WEST , Links -*F- -- 
PASS: Zone E, inDir WEST , Links -*B- -- 
PASS: Zone E, inDir WEST , Links -F*- -- 
PASS: Zone E, inDir WEST , Links -FF- -- 
PASS: Zone E, inDir WEST , Links -FB- -- 
