180 Total Scenarios Tested.
180 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone A, inDir NORTH, Links *--* -- 
PASS: Zone A, inDir NORTH, Links *--F -- 
PASS: Zone A, inDir NORTH, Links *--B -- 
PASS: Zone A, inDir NORTH, Links F--* -- 
PASS: Zone A, inDir NORTH, Links F--F -- 
PASS: Zone A, inDir NORTH, Links F--B -- 
PASS: Zone A, inDir NORTH, Links B--* -- 
PASS: Zone A, inDir NORTH, Links B--F -- 
PASS: Zone A, inDir NORTH, Links B--B -- 
PASS: Zone A, inDir SOUTH, Links *--* -- 
PASS: Zone A, inDir SOUTH, Links *--F -- 
PASS: Zone A, inDir SOUTH, Links *--B -- 
PASS: Zone A, inDir SOUTH, Links F--* -- 
PASS: Zone A, inDir SOUTH, Links F--F -- 
PASS: Zone A, inDir SOUTH, Links F--B -- 
PASS: Zone A, inDir SOUTH, Links B--* -- 
PASS: Zone A, inDir SOUTH, Links B--F -- 
PASS: Zone A, inDir SOUTH, Links B--B -- 
PASS: Zone J, inDir NORTH, Links *--* NE 
PASS: Zone J, inDir NORTH, Links *--* -- 
PASS: Zone J, inDir NORTH, Links *--F NE 
PASS: Zone J, inDir NORTH, Links *--F -- 
PASS: Zone J, inDir NORTH, Links *--B NE 
PASS: Zone J, inDir NORTH, Links *--B -- 
PASS: Zone J, inDir NORTH, Links F--* NE 
PASS: Zone J, inDir NORTH, Links F--* -- 
PASS: Zone J, inDir NORTH, Links F--F NE 
PASS: Zone J, inDir NORTH, Links F--F -- 
PASS: Zone J, inDir NORTH, Links F--B NE 
PASS: Zone J, inDir NORTH, Links F--B -- 
PASS: Zone J, inDir NORTH, Links B--* NE 
PASS: Zone J, inDir NORTH, Links B--* -- 
PASS: Zone J, inDir NORTH, Links B--F NE 
PASS: Zone J, inDir NORTH, Links B--F -- 
PASS: Zone J, inDir NORTH, Links B--B NE 
PASS: Zone J, inDir NORTH, Links B--B -- 
PASS: Zone J, inDir SOUTH, Links *--* NE 
PASS: Zone J, inDir SOUTH, Links *--* -- 
PASS: Zone J, inDir SOUTH, Links *--F NE 
PASS: Zone J, inDir SOUTH, Links *--F -- 
PASS: Zone J, inDir SOUTH, Links *--B NE 
PASS: Zone J, inDir SOUTH, Links *--B -- 
PASS: Zone J, inDir SOUTH, Links F--* NE 
PASS: Zone J, inDir SOUTH, Links F--* -- 
PASS: Zone J, inDir SOUTH, Links F--F NE 
PASS: Zone J, inDir SOUTH, Links F--F -- 
PASS: Zone J, inDir SOUTH, Links F--B NE 
PASS: Zone J, inDir SOUTH, Links F--B -- 
PASS: Zone J, inDir SOUTH, Links B--* NE 
PASS: Zone J, inDir SOUTH, Links B--* -- 
PASS: Zone J, inDir SOUTH, Links B--F NE 
PASS: Zone J, inDir SOUTH, Links B--F -- 
PASS: Zone J, inDir SOUTH, Links B--B NE 
PASS: Zone J, inDir SOUTH, Links B--B -- 
PASS: Zone K, inDir NORTH, Links *--* -- 
PASS: Zone K, inDir NORTH, Links *--F -- 
PASS: Zone K, inDir NORTH, Links *--B -- 
