324 Total Scenarios Tested.
324 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone F, inDir NORTH, Links **-- NE 
PASS: Zone F, inDir NORTH, Links **-- -- 
PASS: Zone F, inDir NORTH, Links *F-- NE 
PASS: Zone F, inDir NORTH, Links *F-- -- 
PASS: Zone F, inDir NORTH, Links *B-- NE 
PASS: Zone F, inDir NORTH, Links *B-- -- 
PASS: Zone F, inDir NORTH, Links F*-- NE 
PASS: Zone F, inDir NORTH, Links F*-- -- 
PASS: Zone F, inDir NORTH, Links FF-- NE 
PASS: Zone F, inDir NORTH, Links FF-- -- 
PASS: Zone F, inDir NORTH, Links FB-- NE 
PASS: Zone F, inDir NORTH, Links FB-- -- 
PASS: Zone F, inDir NORTH, Links B*-- NE 
PASS: Zone F, inDir NORTH, Links B*-- -- 
PASS: Zone F, inDir NORTH, Links BF-- NE 
PASS: Zone F, inDir NORTH, Links BF-- -- 
PASS: Zone F, inDir NORTH, Links BB-- NE 
PASS: Zone F, inDir NORTH, Links BB-- -- 
PASS: Zone F, inDir EAST , Links **-- NE 
PASS: Zone F, inDir EAST , Links **-- -- 
PASS: Zone F, inDir EAST , Links *F-- NE 
PASS: Zone F, inDir EAST , Links *F-- -- 
PASS: Zone F, inDir EAST , Links *B-- NE 
PASS: Zone F, inDir EAST , Links *B-- -- 
PASS: Zone F, inDir EAST , Links F*-- NE 
PASS: Zone F, inDir EAST , Links F*-- -- 
PASS: Zone F, inDir EAST , Links FF-- NE 
PASS: Zone F, inDir EAST , Links FF-- -- 
PASS: Zone F, inDir EAST , Links FB-- NE 
PASS: Zone F, inDir EAST , Links FB-- -- 
PASS: Zone F, inDir EAST , Links B*-- NE 
PASS: Zone F, inDir EAST , Links B*-- -- 
PASS: Zone F, inDir EAST , Links BF-- NE 
PASS: Zone F, inDir EAST , Links BF-- -- 
PASS: Zone F, inDir EAST , Links BB-- NE 
PASS: Zone F, inDir EAST , Links BB-- -- 
PASS: Zone G, inDir NORTH, Links **-- NE 
PASS: Zone G, inDir NORTH, Links **-- -- 
PASS: Zone G, inDir NORTH, Links *F-- NE 
PASS: Zone G, inDir NORTH, Links *F-- -- 
PASS: Zone G, inDir NORTH, Links *B-- NE 
PASS: Zone G, inDir NORTH, Links *B-- -- 
PASS: Zone G, inDir NORTH, Links F*-- NE 
