1053 Total Scenarios Tested.
974 Passed Scenarios (92.4976%)
79 Failed Scenarios (7.50237%)
---------
PASS: Zone A, inDir NORTH, Links *-** -- 
PASS: Zone A, inDir NORTH, Links *-*F -- 
PASS: Zone A, inDir NORTH, Links *-*B -- 
PASS: Zone A, inDir NORTH, Links *-F* -- 
PASS: Zone A, inDir NORTH, Links *-FF -- 
PASS: Zone A, inDir NORTH, Links *-FB -- 
PASS: Zone A, inDir NORTH, Links *-B* -- 
PASS: Zone A, inDir NORTH, Links *-BF -- 
PASS: Zone A, inDir NORTH, Links *-BB -- 
PASS: Zone A, inDir NORTH, Links F-** -- 
PASS: Zone A, inDir NORTH, Links F-*F -- 
PASS: Zone A, inDir NORTH, Links F-*B -- 
PASS: Zone A, inDir NORTH, Links F-F* -- 
PASS: Zone A, inDir NORTH, Links F-FF -- 
PASS: Zone A, inDir NORTH, Links F-FB -- 
PASS: Zone A, inDir NORTH, Links F-B* -- 
PASS: Zone A, inDir NORTH, Links F-BF -- 
PASS: Zone A, inDir NORTH, Links F-BB -- 
PASS: Zone A, inDir NORTH, Links B-** -- 
PASS: Zone A, inDir NORTH, Links B-*F -- 
PASS: Zone A, inDir NORTH, Links B-*B -- 
PASS: Zone A, inDir NORTH, Links B-F* -- 
PASS: Zone A, inDir NORTH, Links B-FF -- 
PASS: Zone A, inDir NORTH, Links B-FB -- 
PASS: Zone A, inDir NORTH, Links B-B* -- 
PASS: Zone A, inDir NORTH, Links B-BF -- 
PASS: Zone A, inDir NORTH, Links B-BB -- 
PASS: Zone A, inDir EAST , Links *-** -- 
PASS: Zone A, inDir EAST , Links *-*F -- 
PASS: Zone A, inDir EAST , Links *-*B -- 
PASS: Zone A, inDir EAST , Links *-F* -- 
PASS: Zone A, inDir EAST , Links *-FF -- 
PASS: Zone A, inDir EAST , Links *-FB -- 
PASS: Zone A, inDir EAST , Links *-B* -- 
PASS: Zone A, inDir EAST , Links *-BF -- 
PASS: Zone A, inDir EAST , Links *-BB -- 
PASS: Zone A, inDir EAST , Links F-** -- 
PASS: Zone A, inDir EAST , Links F-*F -- 
PASS: Zone A, inDir EAST , Links F-*B -- 
PASS: Zone A, inDir EAST , Links F-F* -- 
PASS: Zone A, inDir EAST , Links F-FF -- 
PASS: Zone A, inDir EAST , Links F-FB -- 
PASS: Zone A, inDir EAST , Links F-B* -- 
PASS: Zone A, inDir EAST , Links F-BF -- 
PASS: Zone A, inDir EAST , Links F-BB -- 
PASS: Zone A, inDir EAST , Links B-** -- 
PASS: Zone A, inDir EAST , Links B-*F -- 
PASS: Zone A, inDir EAST , Links B-*B -- 
PASS: Zone A, inDir EAST , Links B-F* -- 
PASS: Zone A, inDir EAST , Links B-FF -- 
PASS: Zone A, inDir EAST , Links B-FB -- 
PASS: Zone A, inDir EAST , Links B-B* -- 
PASS: Zone A, inDir EAST , Links B-BF -- 
PASS: Zone A, inDir EAST , Links B-BB -- 
PASS: Zone A, inDir WEST , Links *-** -- 
PASS: Zone A, inDir WEST , Links *-*F -- 
FAIL: Zone A, inDir WEST , Links *-*B -- 
