1053 Total Scenarios Tested.
1053 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone A, inDir EAST , Links -*** -- 
PASS: Zone A, inDir EAST , Links -**F -- 
PASS: Zone A, inDir EAST , Links -**B -- 
PASS: Zone A, inDir EAST , Links -*F* -- 
PASS: Zone A, inDir EAST , Links -*FF -- 
PASS: Zone A, inDir EAST , Links -*FB -- 
PASS: Zone A, inDir EAST , Links -*B* -- 
PASS: Zone A, inDir EAST , Links -*BF -- 
PASS: Zone A, inDir EAST , Links -*BB -- 
PASS: Zone A, inDir EAST , Links -F** -- 
PASS: Zone A, inDir EAST , Links -F*F -- 
PASS: Zone A, inDir EAST , Links -F*B -- 
PASS: Zone A, inDir EAST , Links -FF* -- 
PASS: Zone A, inDir EAST , Links -FFF -- 
PASS: Zone A, inDir EAST , Links -FFB -- 
PASS: Zone A, inDir EAST , Links -FB* -- 
PASS: Zone A, inDir EAST , Links -FBF -- 
PASS: Zone A, inDir EAST , Links -FBB -- 
PASS: Zone A, inDir EAST , Links -B** -- 
PASS: Zone A, inDir EAST , Links -B*F -- 
PASS: Zone A, inDir EAST , Links -B*B -- 
PASS: Zone A, inDir EAST , Links -BF* -- 
PASS: Zone A, inDir EAST , Links -BFF -- 
PASS: Zone A, inDir EAST , Links -BFB -- 
PASS: Zone A, inDir EAST , Links -BB* -- 
PASS: Zone A, inDir EAST , Links -BBF -- 
PASS: Zone A, inDir EAST , Links -BBB -- 
PASS: Zone A, inDir SOUTH, Links -*** -- 
PASS: Zone A, inDir SOUTH, Links -**F -- 
PASS: Zone A, inDir SOUTH, Links -**B -- 
PASS: Zone A, inDir SOUTH, Links -*F* -- 
PASS: Zone A, inDir SOUTH, Links -*FF -- 
PASS: Zone A, inDir SOUTH, Links -*FB -- 
PASS: Zone A, inDir SOUTH, Links -*B* -- 
PASS: Zone A, inDir SOUTH, Links -*BF -- 
PASS: Zone A, inDir SOUTH, Links -*BB -- 
PASS: Zone A, inDir SOUTH, Links -F** -- 
PASS: Zone A, inDir SOUTH, Links -F*F -- 
PASS: Zone A, inDir SOUTH, Links -F*B -- 
PASS: Zone A, inDir SOUTH, Links -FF* -- 
PASS: Zone A, inDir SOUTH, Links -FFF -- 
PASS: Zone A, inDir SOUTH, Links -FFB -- 
PASS: Zone A, inDir SOUTH, Links -FB* -- 
PASS: Zone A, inDir SOUTH, Links -FBF -- 
PASS: Zone A, inDir SOUTH, Links -FBB -- 
PASS: Zone A, inDir SOUTH, Links -B** -- 
PASS: Zone A, inDir SOUTH, Links -B*F -- 
PASS: Zone A, inDir SOUTH, Links -B*B -- 
PASS: Zone A, inDir SOUTH, Links -BF* -- 
PASS: Zone A, inDir SOUTH, Links -BFF -- 
PASS: Zone A, inDir SOUTH, Links -BFB -- 
PASS: Zone A, inDir SOUTH, Links -BB* -- 
PASS: Zone A, inDir SOUTH, Links -BBF -- 
PASS: Zone A, inDir SOUTH, Links -BBB -- 
PASS: Zone A, inDir WEST , Links -*** -- 
PASS: Zone A, inDir WEST , Links -**F -- 
PASS: Zone A, inDir WEST , Links -**B -- 
PASS: Zone A, inDir WEST , Links -*F* -- 
PASS: Zone A, inDir WEST , Links -*FF -- 
PASS: Zone A, inDir WEST , Links -*FB -- 
PASS: Zone A, inDir WEST , Links -*B* -- 
PASS: Zone A, inDir WEST , Links -*BF -- 
PASS: Zone A, inDir WEST , Links -*BB -- 
PASS: Zone A, inDir WEST , Links -F** -- 
PASS: Zone A, inDir WEST , Links -F*F -- 
PASS: Zone A, inDir WEST , Links -F*B -- 
PASS: Zone A, inDir WEST , Links -FF* -- 
PASS: Zone A, inDir WEST , Links -FFF -- 
PASS: Zone A, inDir WEST , Links -FFB -- 
PASS: Zone A, inDir WEST , Links -FB* -- 
PASS: Zone A, inDir WEST , Links -FBF -- 
PASS: Zone A, inDir WEST , Links -FBB -- 
PASS: Zone A, inDir WEST , Links -B** -- 
PASS: Zone A, inDir WEST , Links -B*F -- 
PASS: Zone A, inDir WEST , Links -B*B -- 
PASS: Zone A, inDir WEST , Links -BF* -- 
PASS: Zone A, inDir WEST , Links -BFF -- 
PASS: Zone A, inDir WEST , Links -BFB -- 
PASS: Zone A, inDir WEST , Links -BB* -- 
PASS: Zone A, inDir WEST , Links -BBF -- 
PASS: Zone A, inDir WEST , Links -BBB -- 
PASS: Zone B, inDir EAST , Links -*** -- 
PASS: Zone B, inDir EAST , Links -**F -- 
PASS: Zone B, inDir EAST , Links -**B -- 
PASS: Zone B, inDir EAST , Links -*F* -- 
PASS: Zone B, inDir EAST , Links -*FF -- 
PASS: Zone B, inDir EAST , Links -*FB -- 
PASS: Zone B, inDir EAST , Links -*B* -- 
PASS: Zone B, inDir EAST , Links -*BF -- 
PASS: Zone B, inDir EAST , Links -*BB -- 
PASS: Zone B, inDir EAST , Links -F** -- 
PASS: Zone B, inDir EAST , Links -F*F -- 
PASS: Zone B, inDir EAST , Links -F*B -- 
PASS: Zone B, inDir EAST , Links -FF* -- 
PASS: Zone B, inDir EAST , Links -FFF -- 
PASS: Zone B, inDir EAST , Links -FFB -- 
PASS: Zone B, inDir EAST , Links -FB* -- 
PASS: Zone B, inDir EAST , Links -FBF -- 
PASS: Zone B, inDir EAST , Links -FBB -- 
PASS: Zone B, inDir EAST , Links -B** -- 
PASS: Zone B, inDir EAST , Links -B*F -- 
PASS: Zone B, inDir EAST , Links -B*B -- 
PASS: Zone B, inDir EAST , Links -BF* -- 
PASS: Zone B, inDir EAST , Links -BFF -- 
PASS: Zone B, inDir EAST , Links -BFB -- 
PASS: Zone B, inDir EAST , Links -BB* -- 
PASS: Zone B, inDir EAST , Links -BBF -- 
PASS: Zone B, inDir EAST , Links -BBB -- 
PASS: Zone B, inDir SOUTH, Links -*** -- 
PASS: Zone B, inDir SOUTH, Links -**F -- 
PASS: Zone B, inDir SOUTH, Links -**B -- 
PASS: Zone B, inDir SOUTH, Links -*F* -- 
PASS: Zone B, inDir SOUTH, Links -*FF -- 
PASS: Zone B, inDir SOUTH, Links -*FB -- 
PASS: Zone B, inDir SOUTH, Links -*B* -- 
PASS: Zone B, inDir SOUTH, Links -*BF -- 
PASS: Zone B, inDir SOUTH, Links -*BB -- 
PASS: Zone B, inDir SOUTH, Links -F** -- 
PASS: Zone B, inDir SOUTH, Links -F*F -- 
PASS: Zone B, inDir SOUTH, Links -F*B -- 
PASS: Zone B, inDir SOUTH, Links -FF* -- 
PASS: Zone B, inDir SOUTH, Links -FFF -- 
PASS: Zone B, inDir SOUTH, Links -FFB -- 
PASS: Zone B, inDir SOUTH, Links -FB* -- 
PASS: Zone B, inDir SOUTH, Links -FBF -- 
PASS: Zone B, inDir SOUTH, Links -FBB -- 
