1782 Total Scenarios Tested.
1782 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone A, inDir NORTH, Links **-* -- 
PASS: Zone A, inDir NORTH, Links **-F -- 
PASS: Zone A, inDir NORTH, Links **-B -- 
PASS: Zone A, inDir NORTH, Links *F-* -- 
PASS: Zone A, inDir NORTH, Links *F-F -- 
PASS: Zone A, inDir NORTH, Links *F-B -- 
PASS: Zone A, inDir NORTH, Links *B-* -- 
PASS: Zone A, inDir NORTH, Links *B-F -- 
PASS: Zone A, inDir NORTH, Links *B-B -- 
PASS: Zone A, inDir NORTH, Links F*-* -- 
PASS: Zone A, inDir NORTH, Links F*-F -- 
PASS: Zone A, inDir NORTH, Links F*-B -- 
PASS: Zone A, inDir NORTH, Links FF-* -- 
PASS: Zone A, inDir NORTH, Links FF-F -- 
PASS: Zone A, inDir NORTH, Links FF-B -- 
PASS: Zone A, inDir NORTH, Links FB-* -- 
PASS: Zone A, inDir NORTH, Links FB-F -- 
PASS: Zone A, inDir NORTH, Links FB-B -- 
PASS: Zone A, inDir NORTH, Links B*-* -- 
PASS: Zone A, inDir NORTH, Links B*-F -- 
PASS: Zone A, inDir NORTH, Links B*-B -- 
PASS: Zone A, inDir NORTH, Links BF-* -- 
PASS: Zone A, inDir NORTH, Links BF-F -- 
PASS: Zone A, inDir NORTH, Links BF-B -- 
PASS: Zone A, inDir NORTH, Links BB-* -- 
PASS: Zone A, inDir NORTH, Links BB-F -- 
PASS: Zone A, inDir NORTH, Links BB-B -- 
PASS: Zone A, inDir EAST , Links **-* -- 
PASS: Zone A, inDir EAST , Links **-F -- 
PASS: Zone A, inDir EAST , Links **-B -- 
PASS: Zone A, inDir EAST , Links *F-* -- 
PASS: Zone A, inDir EAST , Links *F-F -- 
PASS: Zone A, inDir EAST , Links *F-B -- 
PASS: Zone A, inDir EAST , Links *B-* -- 
PASS: Zone A, inDir EAST , Links *B-F -- 
PASS: Zone A, inDir EAST , Links *B-B -- 
PASS: Zone A, inDir EAST , Links F*-* -- 
PASS: Zone A, inDir EAST , Links F*-F -- 
PASS: Zone A, inDir EAST , Links F*-B -- 
PASS: Zone A, inDir EAST , Links FF-* -- 
PASS: Zone A, inDir EAST , Links FF-F -- 
PASS: Zone A, inDir EAST , Links FF-B -- 
PASS: Zone A, inDir EAST , Links FB-* -- 
PASS: Zone A, inDir EAST , Links FB-F -- 
PASS: Zone A, inDir EAST , Links FB-B -- 
PASS: Zone A, inDir EAST , Links B*-* -- 
PASS: Zone A, inDir EAST , Links B*-F -- 
PASS: Zone A, inDir EAST , Links B*-B -- 
PASS: Zone A, inDir EAST , Links BF-* -- 
PASS: Zone A, inDir EAST , Links BF-F -- 
PASS: Zone A, inDir EAST , Links BF-B -- 
PASS: Zone A, inDir EAST , Links BB-* -- 
PASS: Zone A, inDir EAST , Links BB-F -- 
PASS: Zone A, inDir EAST , Links BB-B -- 
PASS: Zone A, inDir SOUTH, Links **-* -- 
PASS: Zone A, inDir SOUTH, Links **-F -- 
PASS: Zone A, inDir SOUTH, Links **-B -- 
