1782 Total Scenarios Tested.
1782 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone C, inDir NORTH, Links ***- -- 
PASS: Zone C, inDir NORTH, Links **F- -- 
PASS: Zone C, inDir NORTH, Links **B- -- 
PASS: Zone C, inDir NORTH, Links *F*- -- 
PASS: Zone C, inDir NORTH, Links *FF- -- 
PASS: Zone C, inDir NORTH, Links *FB- -- 
PASS: Zone C, inDir NORTH, Links *B*- -- 
PASS: Zone C, inDir NORTH, Links *BF- -- 
PASS: Zone C, inDir NORTH, Links *BB- -- 
PASS: Zone C, inDir NORTH, Links F**- -- 
PASS: Zone C, inDir NORTH, Links F*F- -- 
PASS: Zone C, inDir NORTH, Links F*B- -- 
PASS: Zone C, inDir NORTH, Links FF*- -- 
PASS: Zone C, inDir NORTH, Links FFF- -- 
PASS: Zone C, inDir NORTH, Links FFB- -- 
PASS: Zone C, inDir NORTH, Links FB*- -- 
PASS: Zone C, inDir NORTH, Links FBF- -- 
PASS: Zone C, inDir NORTH, Links FBB- -- 
PASS: Zone C, inDir NORTH, Links B**- -- 
PASS: Zone C, inDir NORTH, Links B*F- -- 
PASS: Zone C, inDir NORTH, Links B*B- -- 
PASS: Zone C, inDir NORTH, Links BF*- -- 
PASS: Zone C, inDir NORTH, Links BFF- -- 
PASS: Zone C, inDir NORTH, Links BFB- -- 
PASS: Zone C, inDir NORTH, Links BB*- -- 
PASS: Zone C, inDir NORTH, Links BBF- -- 
PASS: Zone C, inDir NORTH, Links BBB- -- 
PASS: Zone C, inDir EAST , Links ***- -- 
PASS: Zone C, inDir EAST , Links **F- -- 
PASS: Zone C, inDir EAST , Links **B- -- 
PASS: Zone C, inDir EAST , Links *F*- -- 
PASS: Zone C, inDir EAST , Links *FF- -- 
PASS: Zone C, inDir EAST , Links *FB- -- 
PASS: Zone C, inDir EAST , Links *B*- -- 
PASS: Zone C, inDir EAST , Links *BF- -- 
PASS: Zone C, inDir EAST , Links *BB- -- 
PASS: Zone C, inDir EAST , Links F**- -- 
PASS: Zone C, inDir EAST , Links F*F- -- 
PASS: Zone C, inDir EAST , Links F*B- -- 
PASS: Zone C, inDir EAST , Links FF*- -- 
PASS: Zone C, inDir EAST , Links FFF- -- 
PASS: Zone C, inDir EAST , Links FFB- -- 
PASS: Zone C, inDir EAST , Links FB*- -- 
PASS: Zone C, inDir EAST , Links FBF- -- 
PASS: Zone C, inDir EAST , Links FBB- -- 
PASS: Zone C, inDir EAST , Links B**- -- 
PASS: Zone C, inDir EAST , Links B*F- -- 
PASS: Zone C, inDir EAST , Links B*B- -- 
PASS: Zone C, inDir EAST , Links BF*- -- 
PASS: Zone C, inDir EAST , Links BFF- -- 
PASS: Zone C, inDir EAST , Links BFB- -- 
PASS: Zone C, inDir EAST , Links BB*- -- 
PASS: Zone C, inDir EAST , Links BBF- -- 
PASS: Zone C, inDir EAST , Links BBB- -- 
PASS: Zone C, inDir WEST , Links ***- -- 
PASS: Zone C, inDir WEST , Links **F- -- 
PASS: Zone C, inDir WEST , Links **B- -- 
PASS: Zone C, inDir WEST , Links *F*- -- 
PASS: Zone C, inDir WEST , Links *FF- -- 
PASS: Zone C, inDir WEST , Links *FB- -- 
PASS: Zone C, inDir WEST , Links *B*- -- 
PASS: Zone C, inDir WEST , Links *BF- -- 
PASS: Zone C, inDir WEST , Links *BB- -- 
PASS: Zone C, inDir WEST , Links F**- -- 
PASS: Zone C, inDir WEST , Links F*F- -- 
PASS: Zone C, inDir WEST , Links F*B- -- 
PASS: Zone C, inDir WEST , Links FF*- -- 
PASS: Zone C, inDir WEST , Links FFF- -- 
PASS: Zone C, inDir WEST , Links FFB- -- 
PASS: Zone C, inDir WEST , Links FB*- -- 
PASS: Zone C, inDir WEST , Links FBF- -- 
PASS: Zone C, inDir WEST , Links FBB- -- 
PASS: Zone C, inDir WEST , Links B**- -- 
PASS: Zone C, inDir WEST , Links B*F- -- 
PASS: Zone C, inDir WEST , Links B*B- -- 
PASS: Zone C, inDir WEST , Links BF*- -- 
PASS: Zone C, inDir WEST , Links BFF- -- 
PASS: Zone C, inDir WEST , Links BFB- -- 
PASS: Zone C, inDir WEST , Links BB*- -- 
PASS: Zone C, inDir WEST , Links BBF- -- 
PASS: Zone C, inDir WEST , Links BBB- -- 
PASS: Zone D, inDir NORTH, Links ***- -- 
PASS: Zone D, inDir NORTH, Links **F- -- 
PASS: Zone D, inDir NORTH, Links **B- -- 
PASS: Zone D, inDir NORTH, Links *F*- -- 
PASS: Zone D, inDir NORTH, Links *FF- -- 
PASS: Zone D, inDir NORTH, Links *FB- -- 
PASS: Zone D, inDir NORTH, Links *B*- -- 
PASS: Zone D, inDir NORTH, Links *BF- -- 
PASS: Zone D, inDir NORTH, Links *BB- -- 
PASS: Zone D, inDir NORTH, Links F**- -- 
PASS: Zone D, inDir NORTH, Links F*F- -- 
PASS: Zone D, inDir NORTH, Links F*B- -- 
PASS: Zone D, inDir NORTH, Links FF*- -- 
PASS: Zone D, inDir NORTH, Links FFF- -- 
PASS: Zone D, inDir NORTH, Links FFB- -- 
PASS: Zone D, inDir NORTH, Links FB*- -- 
PASS: Zone D, inDir NORTH, Links FBF- -- 
PASS: Zone D, inDir NORTH, Links FBB- -- 
PASS: Zone D, inDir NORTH, Links B**- -- 
PASS: Zone D, inDir NORTH, Links B*F- -- 
PASS: Zone D, inDir NORTH, Links B*B- -- 
PASS: Zone D, inDir NORTH, Links BF*- -- 
PASS: Zone D, inDir NORTH, Links BFF- -- 
PASS: Zone D, inDir NORTH, Links BFB- -- 
PASS: Zone D, inDir NORTH, Links BB*- -- 
PASS: Zone D, inDir NORTH, Links BBF- -- 
PASS: Zone D, inDir NORTH, Links BBB- -- 
PASS: Zone D, inDir EAST , Links ***- -- 
PASS: Zone D, inDir EAST , Links **F- -- 
PASS: Zone D, inDir EAST , Links **B- -- 
PASS: Zone D, inDir EAST , Links *F*- -- 
PASS: Zone D, inDir EAST , Links *FF- -- 
PASS: Zone D, inDir EAST , Links *FB- -- 
PASS: Zone D, inDir EAST , Links *B*- -- 
PASS: Zone D, inDir EAST , Links *BF- -- 
PASS: Zone D, inDir EAST , Links *BB- -- 
PASS: Zone D, inDir EAST , Links F**- -- 
PASS: Zone D, inDir EAST , Links F*F- -- 
PASS: Zone D, inDir EAST , Links F*B- -- 
PASS: Zone D, inDir EAST , Links FF*- -- 
PASS: Zone D, inDir EAST , Links FFF- -- 
PASS: Zone D, inDir EAST , Links FFB- -- 
